state,total_pledges,population
Johor,3600,4107200
Kedah,1352,2189300
Kelantan,690,1859800
Melaka,1115,1028300
Negeri Sembilan,1279,1224900
Pahang,876,1643200
Perak,2180,2541200
Perlis,172,293100
Pulau Pinang,1882,1772600
Sabah,1529,3596700
Sarawak,1480,2502300
Selangor,8246,7209700
Terengganu,601,1210000
W.P. Kuala Lumpur,3162,2005700
W.P. Labuan,102,99000
W.P. Putrajaya,168,118800
