state,year,blood_type,donations
All States,2012,ab,27665
All States,2012,b,116070
All States,2012,o,174370
All States,2013,a,110018
All States,2013,ab,28318
All States,2013,b,120196
All States,2013,o,181361
All States,2014,a,121334
All States,2014,ab,31857
All States,2014,b,133759
All States,2014,o,200847
All States,2015,a,133917
All States,2015,ab,34520
All States,2015,b,146648
All States,2015,o,220729
All States,2016,a,132527
All States,2016,ab,33947
All States,2016,b,145393
All States,2016,o,221411
All States,2017,a,132112
All States,2017,ab,33069
All States,2017,b,143786
All States,2017,o,220147
All States,2018,a,140099
All States,2018,ab,35237
All States,2018,b,153450
All States,2018,o,236306
All States,2019,a,139395
All States,2019,ab,33789
All States,2019,b,151429
All States,2019,o,236151
All States,2020,a,122950
All States,2020,ab,29408
All States,2020,b,134325
All States,2020,o,210894
All States,2021,a,121951
All States,2021,ab,28767
All States,2021,b,135854
All States,2021,o,213177
All States,2022,a,138191
All States,2022,ab,31539
All States,2022,b,151370
All States,2022,o,238701
All States,2023,a,142287
All States,2023,ab,32054
All States,2023,b,156152
All States,2023,o,244880
