state,total_pledges,population,median_household_income
Johor,6382,4028300,6879
Kedah,2538,2163100,4402
Kelantan,969,1830600,3614
Melaka,1668,1008600,6210
Negeri Sembilan,2100,1207900,5226
Pahang,1349,1614300,4753
Perak,4572,2514400,4494
Perlis,626,289800,4713
Pulau Pinang,3197,1740900,6502
Sabah,2241,3414900,4577
Sarawak,2052,2473500,4978
Selangor,15998,7050300,9983
Terengganu,935,1186600,5878
W.P. Kuala Lumpur,6687,1961200,10234
W.P. Labuan,103,96900,6904
W.P. Putrajaya,361,117000,10056
